sample	metabolite	derivative	isotopologue	area	resolution
13CPROT1	Glyoxylate (1MEOX) 	TMS 1	m0	388	2000
13CPROT1	Glyoxylate (1MEOX) 	TMS 1	m1	238	2000
13CPROT1	Glyoxylate (1MEOX) 	TMS 1	m2	73	2000
13CPROT1	Pyruvate(1MEOX) C1-C3	TMS 1	m0	579	2000
13CPROT1	Pyruvate(1MEOX) C1-C3	TMS 1	m1	32	2000
13CPROT1	Pyruvate(1MEOX) C1-C3	TMS 1	m2	107	2000
13CPROT1	Pyruvate(1MEOX) C1-C3	TMS 1	m3	167	2000
13CPROT1	Glycolate	TMS 2	m0	936	2000
13CPROT1	Glycolate	TMS 2	m1	386	2000
13CPROT1	Glycolate	TMS 2	m2	113	2000
13CPROT1	Alaninealpha C2-C3	TMS 2	m0	152712	2000
13CPROT1	Alaninealpha C2-C3	TMS 2	m1	304725	2000
13CPROT1	Alaninealpha C2-C3	TMS 2	m2	180342	2000
13CPROT1	Valine C1-C2	TMS 2	m0	9746	2000
13CPROT1	Valine C1-C2	TMS 2	m1	23521	2000
13CPROT1	Valine C1-C2	TMS 2	m2	16106	2000
13CPROT1	Valine C2-C5	TMS 2	m0	29912	2000
13CPROT1	Valine C2-C5	TMS 2	m1	106928	2000
13CPROT1	Valine C2-C5	TMS 2	m2	157843	2000
13CPROT1	Valine C2-C5	TMS 2	m3	164764	2000
13CPROT1	Valine C2-C5	TMS 2	m4	46860	2000
13CPROT1	Serine  C2-C3	TMS 2	m0	14521	2000
13CPROT1	Serine  C2-C3	TMS 2	m1	25326	2000
13CPROT1	Serine  C2-C3	TMS 2	m2	12650	2000
13CPROT1	Serine  C2-C3	TMS 2	m0	17150	2000
13CPROT1	Serine  C2-C3	TMS 2	m1	27812	2000
13CPROT1	Serine  C2-C3	TMS 2	m2	16419	2000
13CPROT1	Leucine C2-C6	TMS 2	m0	20852	2000
13CPROT1	Leucine C2-C6	TMS 2	m1	86110	2000
13CPROT1	Leucine C2-C6	TMS 2	m2	172078	2000
13CPROT1	Leucine C2-C6	TMS 2	m3	174426	2000
13CPROT1	Leucine C2-C6	TMS 2	m4	96913	2000
13CPROT1	Leucine C2-C6	TMS 2	m5	27748	2000
13CPROT1	Isoleucine C2-C6	TMS 2	m0	12590	2000
13CPROT1	Isoleucine C2-C6	TMS 2	m1	49057	2000
13CPROT1	Isoleucine C2-C6	TMS 2	m2	97606	2000
13CPROT1	Isoleucine C2-C6	TMS 2	m3	100222	2000
13CPROT1	Isoleucine C2-C6	TMS 2	m4	51744	2000
13CPROT1	Isoleucine C2-C6	TMS 2	m5	18182	2000
13CPROT1	Proline C2-C5	TMS 2	m0	15909	2000
13CPROT1	Proline C2-C5	TMS 2	m1	55216	2000
13CPROT1	Proline C2-C5	TMS 2	m2	87980	2000
13CPROT1	Proline C2-C5	TMS 2	m3	67872	2000
13CPROT1	Proline C2-C5	TMS 2	m4	23395	2000
13CPROT1	Glycine  C2	TMS 3	m0	410680	2000
13CPROT1	Glycine  C2	TMS 3	m1	449017	2000
13CPROT1	Succinate C1-C4	TMS 2	m0	50	2000
13CPROT1	Succinate C1-C4	TMS 2	m1	271	2000
13CPROT1	Succinate C1-C4	TMS 2	m2	77256	2000
13CPROT1	Succinate C1-C4	TMS 2	m3	28	2000
13CPROT1	Succinate C1-C4	TMS 2	m4	74	2000
13CPROT1	Fumarate C1-C4	TMS 2	m0	836	2000
13CPROT1	Fumarate C1-C4	TMS 2	m1	248	2000
13CPROT1	Fumarate C1-C4	TMS 2	m2	225	2000
13CPROT1	Fumarate C1-C4	TMS 2	m3	111	2000
13CPROT1	Fumarate C1-C4	TMS 2	m4	59	2000
13CPROT1	Serine C2-C3	TMS 3	m0	23340	2000
13CPROT1	Serine C2-C3	TMS 3	m1	49349	2000
13CPROT1	Serine C2-C3	TMS 3	m2	29872	2000
13CPROT1	Serine C1-C2	TMS 3	m0	14400	2000
13CPROT1	Serine C1-C2	TMS 3	m1	24837	2000
13CPROT1	Serine C1-C2	TMS 3	m2	18287	2000
13CPROT1	Glycerate C1-C3	TMS 3	m0	283	2000
13CPROT1	Glycerate C1-C3	TMS 3	m1	59	2000
13CPROT1	Glycerate C1-C3	TMS 3	m2	135	2000
13CPROT1	Glycerate C1-C3	TMS 3	m3	23	2000
13CPROT1	Glycerate C1-C2	TMS 3	m0	14	2000
13CPROT1	Glycerate C1-C2	TMS 3	m1	67	2000
13CPROT1	Glycerate C1-C2	TMS 3	m2	283	2000
13CPROT1	Threonine C1-C2	TMS 3	m0	5303	2000
13CPROT1	Threonine C1-C2	TMS 3	m1	11463	2000
13CPROT1	Threonine C1-C2	TMS 3	m2	12193	2000
13CPROT1	Threonine C2-C4	TMS 3	m0	10069	2000
13CPROT1	Threonine C2-C4	TMS 3	m1	37998	2000
13CPROT1	Threonine C2-C4	TMS 3	m2	45083	2000
13CPROT1	Threonine C2-C4	TMS 3	m3	28835	2000
13CPROT1	Threonine C2-C4	TMS 3	m0		2000
13CPROT1	Threonine C2-C4	TMS 3	m1		2000
13CPROT1	Threonine C2-C4	TMS 3	m2		2000
13CPROT1	Threonine C2-C4	TMS 3	m3		2000
13CPROT1	Aspartate C2-C4	TMS 2	m0	8066	2000
13CPROT1	Aspartate C2-C4	TMS 2	m1	22139	2000
13CPROT1	Aspartate C2-C4	TMS 2	m2	21117	2000
13CPROT1	Aspartate C2-C4	TMS 2	m3	9851	2000
13CPROT1	Alaninebeta C1-C3	TMS 3	m0	17	2000
13CPROT1	Alaninebeta C1-C3	TMS 3	m1	120	2000
13CPROT1	Alaninebeta C1-C3	TMS 3	m2	73	2000
13CPROT1	Alaninebeta C1-C3	TMS 3	m3	78	2000
13CPROT1	Malate C1-C4	TMS 3	m0	56	2000
13CPROT1	Malate C1-C4	TMS 3	m1	69	2000
13CPROT1	Malate C1-C4	TMS 3	m2	29	2000
13CPROT1	Malate C1-C4	TMS 3	m3	39	2000
13CPROT1	Malate C1-C4	TMS 3	m4	63	2000
13CPROT1	Malate C2-C4	TMS 3	m0	216	2000
13CPROT1	Malate C2-C4	TMS 3	m1	311	2000
13CPROT1	Malate C2-C4	TMS 3	m2	40	2000
13CPROT1	Malate C2-C4	TMS 3	m3	96	2000
13CPROT1	Methionine C2-C5	TMS 2	m0	467	2000
13CPROT1	Methionine C2-C5	TMS 2	m1	2360	2000
13CPROT1	Methionine C2-C5	TMS 2	m2	3786	2000
13CPROT1	Methionine C2-C5	TMS 2	m3	2546	2000
13CPROT1	Methionine C2-C5	TMS 2	m4	670	2000
13CPROT1	Aspartate C2-C4	TMS 3	m0	38637	2000
13CPROT1	Aspartate C2-C4	TMS 3	m1	108852	2000
13CPROT1	Aspartate C2-C4	TMS 3	m2	119678	2000
13CPROT1	Aspartate C2-C4	TMS 3	m3	57857	2000
13CPROT1	2oxoglutarate(1MEOX) C1-C5	TMS 2	m5	31	2000
13CPROT1	2oxoglutarate(1MEOX) C1-C5	TMS 2	m0	76	2000
13CPROT1	2oxoglutarate(1MEOX) C1-C5	TMS 2	m1	28	2000
13CPROT1	2oxoglutarate(1MEOX) C1-C5	TMS 2	m2	347	2000
13CPROT1	2oxoglutarate(1MEOX) C1-C5	TMS 2	m3	33	2000
13CPROT1	2oxoglutarate(1MEOX) C1-C5	TMS 2	m4	154	2000
13CPROT1	Glutamate C2-C5	TMS 3	m0	15889	2000
13CPROT1	Glutamate C2-C5	TMS 3	m1	57485	2000
